RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
394735,30,"Kansas City, MO",Msa,MO,254018.0,250000.0,259950.0,269900.0,279000.0,275000.0,278000.0,275000.0,272000.0,269900.0,275950.0,295000.0,289900.0,295000.0,304900.0,320900.0,335000.0,339000.0,339900.0,330000.0,320000.0,309900.0,309000.0,305900.0,300000.0,300000.0,319900.0,330790.0,349000.0,349000.0,360000.0,369900.0,364950.0,350000.0,345000.0,339950.0,339856.0,339500.0,347950.0,374950.0,388990.0,390000.0,395000.0,384900.0,369000.0,350000.0,352030.0,359900.0,369000.0,389950.0,413950.0,425500.0,429000.0
394775,31,"Las Vegas, NV",Msa,NV,289500.0,290000.0,291000.0,294900.0,299000.0,325000.0,349000.0,350000.0,349000.0,344900.0,330000.0,324997.0,319900.0,319900.0,314993.0,309999.0,312900.0,317000.0,320000.0,324999.0,325000.0,323000.0,319900.0,319900.0,320000.0,320000.0,324000.0,332942.0,345000.0,329000.0,325900.0,334900.0,343900.0,345000.0,345000.0,349000.0,347500.0,345000.0,345000.0,345000.0,372900.0,398950.0,420000.0,430000.0,430000.0,445500.0,457500.0,466000.0,475000.0,489000.0,499900.0,510000.0,520000.0
394492,32,"Columbus, OH",Msa,OH,249900.0,249900.0,263000.0,293000.0,299900.0,314990.0,320000.0,317400.0,309900.0,295000.0,279900.0,274900.0,269500.0,260000.0,264900.0,285000.0,310500.0,324900.0,325000.0,327900.0,325000.0,307886.0,294900.0,282500.0,279900.0,278000.0,289900.0,308900.0,319900.0,319900.0,339900.0,349900.0,345000.0,329900.0,315000.0,319900.0,320000.0,323990.0,322990.0,333990.0,345000.0,349990.0,349900.0,344990.0,342500.0,335000.0,329000.0,334990.0,349000.0,351990.0,358900.0,367990.0,367900.0
394705,33,"Indianapolis, IN",Msa,IN,211500.0,209900.0,212900.0,225000.0,244900.0,285000.0,287900.0,279990.0,270000.0,259000.0,249900.0,239900.0,229900.0,229000.0,230000.0,245000.0,269900.0,285000.0,289900.0,284900.0,279900.0,274500.0,270000.0,264900.0,259000.0,250000.0,259900.0,273964.0,285900.0,289900.0,299900.0,316900.0,315000.0,314900.0,299000.0,285000.0,279000.0,275000.0,279000.0,286356.0,299000.0,303704.0,304990.0,302250.0,299900.0,304999.0,309990.0,307995.0,310995.0,319900.0,321995.0,329900.0,329900.0
395059,34,"San Jose, CA",Msa,CA,1075000.0,1050000.0,1088888.0,1175000.0,1200000.0,1250000.0,1280000.0,1249000.0,1199000.0,1150000.0,1118000.0,1098000.0,1049888.0,998000.0,998888.0,1099000.0,1100000.0,1139999.0,1178000.0,1150000.0,1104420.0,1099800.0,1099950.0,1099000.0,1089999.0,1028350.0,1098888.0,1198000.0,1200000.0,1179000.0,1199000.0,1250000.0,1263352.0,1250000.0,1249985.0,1245700.0,1250000.0,1199000.0,1199888.0,1250000.0,1255000.0,1250000.0,1299900.0,1299900.0,1290000.0,1268888.0,1279000.0,1251000.0,1199999.0,1198000.0,1288000.0,1350000.0,1399999.0
394355,35,"Austin, TX",Msa,TX,354686.0,351038.0,350947.0,360146.0,363803.0,364706.0,364259.0,363803.0,355597.0,347601.0,345568.0,341921.0,337316.0,332803.0,333765.0,341921.0,353648.0,361068.0,360156.0,346479.0,336450.0,333714.0,328243.0,327241.0,328195.0,319126.0,327332.0,339675.0,349903.0,349443.0,363803.0,378392.0,382951.0,392602.0,399363.0,400990.0,405500.0,399500.0,407990.0,439000.0,455000.0,480000.0,499000.0,499999.0,511000.0,510000.0,524990.0,525000.0,524990.0,524990.0,528508.0,552429.0,594999.0
395194,36,"Virginia Beach, VA",Msa,VA,260115.0,257118.0,257118.0,259148.0,265820.0,270558.0,275490.0,276554.0,277521.0,275587.0,275587.0,270742.0,270655.0,270268.0,273169.0,279455.0,285256.0,289995.0,289995.0,289995.0,289995.0,289995.0,289124.0,289124.0,289995.0,289995.0,289995.0,290082.0,299568.0,302159.0,309334.0,315223.0,319004.0,319004.0,314169.0,316000.0,308850.0,299900.0,299900.0,299990.0,305000.0,314995.0,310000.0,305000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,310000.0,319900.0
394902,37,"Nashville, TN",Msa,TN,374900.0,372500.0,370400.0,378900.0,379900.0,379999.0,379000.0,374900.0,369000.0,359900.0,359999.0,359500.0,354900.0,354900.0,355000.0,354900.0,359900.0,365000.0,369000.0,369900.0,364000.0,359900.0,359900.0,359000.0,354900.0,354000.0,350000.0,355000.0,359900.0,359988.0,369000.0,375000.0,379900.0,379900.0,384990.0,380000.0,378830.0,379900.0,385000.0,402900.0,410000.0,424990.0,439000.0,450000.0,454990.0,449900.0,450000.0,465000.0,465000.0,459900.0,456990.0,489900.0,520750.0
395005,38,"Providence, RI",Msa,RI,346011.0,345591.0,346011.0,351360.0,361848.0,366568.0,367092.0,366988.0,367092.0,367092.0,366988.0,361743.0,355555.0,351360.0,356499.0,366044.0,376532.0,387020.0,387964.0,387964.0,387964.0,387964.0,387020.0,382825.0,377476.0,366988.0,367092.0,387020.0,398453.0,398453.0,408941.0,419429.0,430023.0,424778.0,409046.0,398453.0,393313.0,397509.0,399000.0,425000.0,400000.0,415000.0,424000.0,442000.0,445000.0,439900.0,429900.0,439900.0,429900.0,425000.0,449000.0,450000.0,459000.0
394862,39,"Milwaukee, WI",Msa,WI,219900.0,214500.0,213900.0,224900.0,239900.0,249000.0,257000.0,259900.0,254900.0,249900.0,240000.0,239000.0,229900.0,229000.0,234900.0,239900.0,239900.0,235000.0,239900.0,243500.0,240000.0,239900.0,229900.0,225000.0,224500.0,215000.0,219900.0,229900.0,245000.0,249900.0,259900.0,260000.0,260000.0,249900.0,242500.0,239000.0,232000.0,225000.0,220000.0,224900.0,229900.0,234900.0,244900.0,229900.0,215000.0,210000.0,209900.0,200000.0,199900.0,190000.0,194900.0,195000.0,209000.0
